21,19,21
-,01-00-00-00-10-30-40-40-40-42-42-40-40-40-40-40-40-40-40-40-40
,00-01-00-00-00-10-30-40-40-40-42-40-40-40-40-40-42-42-40-40-40
-,00-01-00-00-00-00-30-30-40-40-40-40-40-40-40-40-42-40-40-40-40
,10-10-01-00-00-02-10-32-32-30-30-40-40-40-40-40-42-40-40-40-40
-,30-10-01-00-00-02-02-02-20-21-30-40-40-40-40-40-40-40-40-40-40
,40-30-10-01-00-20-22-22-20-20-21-30-40-40-40-40-40-42-40-40-40
-,40-30-00-01-00-02-22-20-20-20-21-30-40-40-40-40-40-40-40-40-40
,40-40-30-00-01-00-22-20-20-60-20-31-30-40-40-40-40-40-40-40-40
-,40-40-30-00-01-00-20-20-30-30-30-31-30-30-30-40-40-40-40-40-40
,40-40-40-30-00-01-00-22-30-30-30-30-21-20-20-32-30-40-40-40-40
-,40-40-40-30-00-01-00-22-30-30-30-20-21-20-20-20-30-40-40-40-40
,40-40-40-40-30-10-01-00-22-20-20-20-20-21-50-20-20-30-40-40-40
-,40-40-40-30-10-20-21-20-20-20-20-20-20-21-21-20-20-30-40-40-40
,40-40-40-40-30-20-20-21-20-20-20-20-20-21-20-20-20-30-40-40-40
-,40-40-40-40-30-20-20-21-21-21-21-21-21-20-20-70-20-30-40-40-40
,40-40-40-40-40-30-60-21-20-20-20-20-20-21-21-21-21-30-40-40-40
-,40-40-40-40-40-30-30-20-20-20-20-20-20-20-30-30-30-40-40-40-40
,40-40-40-40-40-40-40-30-30-30-30-30-30-30-30-40-40-40-40-40-40
-,40-40-40-40-40-40-40-40-40-40-40-40-40-40-40-40-40-40-40-40-40
1,1,12,0
2,1,12,0
2,2,12,0
19,17,18,1
19,18,18,1
19,19,18,1
3,5,13,1
2,4,14,0
18,18,16,0
16,19,17,1
19,2,20,1
19,4,19,1
15,16,4,0
4,1,11,0
14,13,9,1
13,12,1,0
13,13,1,0
14,12,1,0
16,12,1,0
16,11,1,0
14,14,1,0
